projectile,proj_type,calibre,proj_mass,proj_density,proj_hardness,Material,thickness,density,modulus,hardness,yield,PR,UTS,elongation,Ludwik-n,angle,v50,sigma_mps,ind_data,source
20MMFSP,frag,19.9,53.78,7.85,260,AA2139-T8,52.1,2.81,73.1,159,414,0.33,462,9,0.087,0,1425,6,N,cheeseman_08_ISB
CAL50APM2,AP,10.8839,25.9,7.85,630,AA2139-T8,52.1,2.81,73.1,159,414,0.33,462,9,0.087,0,785,7,N,cheeseman_08_ISB
20MMFSP,frag,19.9,53.78,7.85,260,AA2139-T8,52.1,2.81,73.1,166,414,0.33,462,9,0.087,0,1400,7,N,cheeseman_08_ISB
CAL50APM2,AP,10.8839,25.9,7.85,630,AA2139-T8,52.1,2.81,73.1,166,414,0.33,462,9,0.087,0,790,9,N,cheeseman_08_ISB
CAL50APM2,AP,10.8839,25.9,7.85,630,AA2139-T8,53.8,2.81,73.1,153,414,0.33,462,9,0.087,0,796,6,N,cheeseman_08_ISB
CAL50APM2,AP,10.8839,25.9,7.85,630,AA2139-T8,57.2,2.81,73.1,156,414,0.33,462,9,0.087,0,819,9,N,cheeseman_08_ISB
CAL50APM2,AP,10.8839,25.9,7.85,630,AA2139-T8,64.1,2.81,73.1,156,414,0.33,462,9,0.087,0,873,7,N,cheeseman_08_ISB
CAL30APM2 (core),AP,6.2484,5.3,7.85,570,AA6082-T6,20,2.7,70,90,260,0.33,290,10,0.07,0,514,,Y,forrestal_14_expmech
CAL30APM2 (core),AP,6.2484,5.3,7.85,570,AA6082-T6,20,2.7,70,90,260,0.33,290,10,0.07,15,535,,Y,forrestal_14_expmech
CAL30APM2 (core),AP,6.2484,5.3,7.85,570,AA6082-T6,20,2.7,70,90,260,0.33,290,10,0.07,30,597,,Y,forrestal_14_expmech
CAL30APM2 (core),AP,6.2484,5.3,7.85,570,AA6082-T6,20,2.7,70,90,260,0.33,290,10,0.07,45,723,,Y,forrestal_14_expmech
CAL50FSP,frag,12.6,13.4,7.85,260,AA7056-T761,22.7,2.87,71.7,179,531,0.33,569,11.5,0.0374,0,845,6,Y,gallardy_17_tr7947
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T761,22.7,2.87,71.7,179,531,0.33,569,11.5,0.0374,0,360,14,Y,gallardy_17_tr7947
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T761,28,2.87,71.7,179,531,0.33,569,11.5,0.0374,0,521,5,Y,gallardy_17_tr7947
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T761,36.8,2.87,71.7,174,531,0.33,569,11.5,0.0374,0,870,7,Y,gallardy_17_tr7947
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T761,37.8,2.87,71.7,179,531,0.33,569,11.5,0.0374,0,880,7,Y,gallardy_17_tr7947
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T761,40.6,2.87,71.7,170,531,0.33,569,11.5,0.0374,0,986,4,Y,gallardy_17_tr7947
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T761,65.2,2.87,71.7,174,531,0.33,569,11.5,0.0374,0,846,6,Y,gallardy_17_tr7947
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T761,65.4,2.87,71.7,179,531,0.33,569,11.5,0.0374,0,860,5,Y,gallardy_17_tr7947
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T761,77.6,2.87,71.7,183,531,0.33,569,11.5,0.0374,0,934,8,Y,gallardy_17_tr7947
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T761,22.7,2.87,71.7,179,531,0.33,569,11.5,0.0374,0,677,7,Y,gallardy_17_tr7947
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T761,28,2.87,71.7,179,531,0.33,569,11.5,0.0374,0,764,7,Y,gallardy_17_tr7947
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T761,36.8,2.87,71.7,174,531,0.33,569,11.5,0.0374,0,893,8,Y,gallardy_17_tr7947
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T761,37.8,2.87,71.7,179,531,0.33,569,11.5,0.0374,0,906,5,Y,gallardy_17_tr7947
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T761,40.6,2.87,71.7,170,531,0.33,569,11.5,0.0374,0,939,7,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T761,37.8,2.87,71.7,179,531,0.33,569,11.5,0.0374,0,651,5,Y,gallardy_17_tr7947
