projectile,proj_type,calibre,proj_mass,proj_density,proj_hardness,Material,thickness,density,modulus,hardness,yield,PR,UTS,elongation,Ludwik-n,angle,v50
CAL50APM2,AP,10.8839,25.9,7.85,630,AA2139-T8,53.8,2.81,73.1,153.0,414.0,0.33,462.0,9.0,0.087,0,796
CAL50APM2,AP,10.8839,25.9,7.85,630,AA2139-T8,57.2,2.81,73.1,156.0,414.0,0.33,462.0,9.0,0.087,0,819
CAL50APM2,AP,10.8839,25.9,7.85,630,AA2139-T8,64.1,2.81,73.1,156.0,414.0,0.33,462.0,9.0,0.087,0,873
CAL30APM2 (core),AP,6.2484,5.3,7.85,570,AA6082-T6,20.0,2.7,70.0,90.0,260.0,0.33,290.0,10.0,0.07,0,514
CAL30APM2 (core),AP,6.2484,5.3,7.85,570,AA6082-T6,20.0,2.7,70.0,90.0,260.0,0.33,290.0,10.0,0.07,15,535
CAL30APM2 (core),AP,6.2484,5.3,7.85,570,AA6082-T6,20.0,2.7,70.0,90.0,260.0,0.33,290.0,10.0,0.07,30,597
CAL30APM2 (core),AP,6.2484,5.3,7.85,570,AA6082-T6,20.0,2.7,70.0,90.0,260.0,0.33,290.0,10.0,0.07,45,723
CAL50FSP,frag,12.6,13.4,7.85,260,AA7056-T761,22.7,2.87,71.7,179.0,531.0,0.33,569.0,11.5,0.0374,0,845
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T761,22.7,2.87,71.7,179.0,531.0,0.33,569.0,11.5,0.0374,0,360
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T761,28.0,2.87,71.7,179.0,531.0,0.33,569.0,11.5,0.0374,0,521
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T761,36.8,2.87,71.7,174.0,531.0,0.33,569.0,11.5,0.0374,0,870
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T761,37.8,2.87,71.7,179.0,531.0,0.33,569.0,11.5,0.0374,0,880
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T761,40.6,2.87,71.7,170.0,531.0,0.33,569.0,11.5,0.0374,0,986
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T761,65.2,2.87,71.7,174.0,531.0,0.33,569.0,11.5,0.0374,0,846
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T761,65.4,2.87,71.7,179.0,531.0,0.33,569.0,11.5,0.0374,0,860
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T761,77.6,2.87,71.7,183.0,531.0,0.33,569.0,11.5,0.0374,0,934
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T761,22.7,2.87,71.7,179.0,531.0,0.33,569.0,11.5,0.0374,0,677
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T761,28.0,2.87,71.7,179.0,531.0,0.33,569.0,11.5,0.0374,0,764
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T761,36.8,2.87,71.7,174.0,531.0,0.33,569.0,11.5,0.0374,0,893
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T761,37.8,2.87,71.7,179.0,531.0,0.33,569.0,11.5,0.0374,0,906
